iter	Passed	Remaining
0	88	88852
1	90	44956
2	91	30282
3	114	28491
4	115	22991
5	117	19457
6	227	32252
7	228	28319
8	234	25817
9	240	23840
10	273	24566
11	274	22595
12	275	20931
13	276	19485
14	288	18967
15	289	17814
16	290	16802
17	291	15901
18	292	15093
19	299	14662
20	300	13996
21	301	13385
22	302	12828
23	302	12318
24	303	11848
25	305	11433
26	356	12839
27	357	12410
28	358	12004
29	359	11623
30	360	11256
31	361	10930
32	402	11797
33	403	11461
34	411	11338
35	415	11127
36	416	10844
37	418	10591
38	447	11036
39	448	10770
40	449	10516
41	450	10277
42	451	10053
43	452	9837
44	512	10882
45	513	10656
46	514	10439
47	515	10232
48	516	10032
49	545	10373
50	547	10179
51	548	9993
52	549	9821
53	550	9648
54	551	9481
55	594	10019
56	595	9850
57	597	9704
58	598	9545
59	599	9390
60	600	9240
61	601	9097
62	649	9658
63	650	9510
64	651	9366
65	651	9225
66	652	9089
67	653	8956
68	654	8828
69	655	8703
70	655	8581
71	656	8464
72	657	8351
73	658	8240
74	659	8131
75	721	8767
76	722	8656
77	729	8623
78	730	8519
79	732	8418
80	733	8319
81	734	8223
82	751	8304
83	753	8215
84	754	8120
85	755	8027
86	756	7936
87	757	7846
88	758	7759
89	758	7673
90	788	7871
91	792	7823
92	793	7738
93	794	7656
94	795	7575
95	796	7495
96	796	7417
97	797	7340
98	858	7815
99	859	7736
100	860	7659
101	861	7583
102	863	7516
103	864	7443
104	864	7371
105	865	7301
106	905	7557
107	906	7486
108	907	7415
109	907	7346
110	908	7278
111	978	7756
112	979	7686
113	979	7616
114	980	7547
115	981	7480
116	982	7414
117	983	7350
118	984	7286
119	1007	7384
120	1007	7321
121	1008	7259
122	1009	7198
123	1010	7136
124	1010	7076
125	1011	7018
126	1012	6960
127	1022	6968
128	1038	7011
129	1039	6956
130	1040	6902
131	1041	6849
132	1042	6796
133	1043	6745
134	1073	6881
135	1076	6839
136	1077	6788
137	1078	6738
138	1080	6690
139	1081	6642
140	1082	6593
141	1083	6546
142	1093	6551
143	1094	6504
144	1095	6457
145	1096	6411
146	1176	6824
147	1177	6777
148	1178	6728
149	1179	6681
150	1179	6633
151	1180	6586
152	1193	6604
153	1193	6558
154	1194	6513
155	1195	6467
156	1196	6423
157	1197	6382
158	1198	6341
159	1199	6299
160	1200	6257
161	1201	6216
162	1202	6176
163	1203	6136
164	1204	6096
165	1206	6060
166	1207	6022
167	1208	5984
168	1209	5946
169	1210	5909
170	1211	5872
171	1212	5836
172	1213	5799
173	1213	5762
174	1214	5726
175	1215	5691
176	1216	5655
177	1217	5620
178	1217	5586
179	1218	5552
180	1219	5518
181	1241	5580
182	1242	5546
183	1243	5513
184	1244	5480
185	1245	5448
186	1245	5416
187	1246	5384
188	1247	5352
189	1248	5321
190	1249	5290
191	1249	5259
192	1263	5282
193	1277	5308
194	1278	5278
195	1279	5248
196	1280	5218
197	1281	5188
198	1281	5159
199	1312	5251
200	1314	5224
201	1315	5196
202	1316	5168
203	1317	5140
204	1318	5113
205	1319	5086
206	1320	5060
207	1374	5234
208	1389	5259
209	1390	5231
210	1391	5203
211	1392	5175
212	1418	5242
213	1420	5215
214	1425	5203
215	1426	5176
216	1427	5149
217	1427	5122
218	1438	5130
219	1442	5114
220	1447	5100
221	1448	5074
222	1448	5048
223	1449	5022
224	1461	5035
225	1462	5009
226	1463	4984
227	1464	4958
228	1465	4933
229	1468	4915
230	1478	4923
231	1479	4899
232	1481	4875
233	1482	4851
234	1483	4828
235	1484	4805
236	1485	4782
237	1486	4759
238	1487	4737
239	1488	4714
240	1489	4692
241	1490	4669
242	1491	4647
243	1492	4625
244	1494	4604
245	1495	4582
246	1496	4560
247	1496	4539
248	1497	4517
249	1498	4496
250	1499	4474
251	1500	4453
252	1501	4433
253	1502	4412
254	1503	4391
255	1504	4371
256	1505	4351
257	1505	4330
258	1506	4310
259	1507	4290
260	1508	4271
261	1509	4251
262	1510	4233
263	1511	4213
264	1512	4194
265	1513	4175
266	1513	4156
267	1515	4139
268	1516	4120
269	1517	4102
270	1518	4084
271	1519	4065
272	1520	4048
273	1520	4030
274	1523	4016
275	1527	4006
276	1528	3988
277	1529	3971
278	1529	3953
279	1530	3936
280	1531	3919
281	1538	3916
282	1539	3899
283	1542	3887
284	1543	3871
285	1544	3855
286	1545	3839
287	1546	3823
288	1553	3821
289	1554	3805
290	1555	3788
291	1556	3773
292	1557	3757
293	1563	3754
294	1564	3738
295	1565	3722
296	1566	3707
297	1567	3691
298	1567	3676
299	1568	3660
300	1569	3645
301	1580	3651
302	1582	3640
303	1583	3625
304	1584	3610
305	1586	3597
306	1594	3598
307	1595	3584
308	1596	3570
309	1619	3604
310	1620	3590
311	1621	3576
